,Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount Clean,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount
12372,30,Q010,I.S. 10 - QUEENS,SCA CIP,WATER PENETRATION,Construction,In-Progress,2022-06-21,2023-09-13,,1736156.0,1653196.0,1614873.0
12373,30,Q010,I.S. 10 - QUEENS,SCA CIP,WATER PENETRATION,"CM,F&E",In-Progress,2022-06-21,2023-09-13,,108028.0,198584.0,198584.0
12377,30,Q011,P.S. 11 - QUEENS,SCA CIP,ROOFS / PARAPETS,Scope,Complete,2024-05-13,2024-09-27,2024-11-08,82451.0,111737.0,111362.0
12378,30,Q011,P.S. 11 - QUEENS,SCA CIP,ROOFS / PARAPETS,Design,In-Progress,2024-12-18,2025-05-21,,393415.0,393415.0,18637.0
12379,30,Q011,P.S. 11 - QUEENS,SCA CIP,ROOFS / PARAPETS,Construction,PNS,,,,7099822.0,7099822.0,13514.0
12380,30,Q011,P.S. 11 - QUEENS,SCA CIP,ROOFS / PARAPETS,"CM,F&E",PNS,,,,595993.0,595993.0,17402.0
12389,30,Q017,P.S. 17 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS / WINDOWS,Scope,Complete,2023-06-07,2023-12-06,2023-10-20,143584.0,122750.0,121574.0
12390,30,Q017,P.S. 17 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS / WINDOWS,Design,Complete,2023-11-09,2024-06-28,2024-04-11,708217.0,239061.0,239030.0
12391,30,Q017,P.S. 17 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS / WINDOWS,Construction,PNS,,,,15095780.0,15095780.0,105926.0
12392,30,Q017,P.S. 17 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS / WINDOWS,"CM,F&E",PNS,,,,1077841.0,1077841.0,31586.0
12393,30,Q017,P.S. 17 - QUEENS,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,2023-06-14,2023-10-16,2023-06-29,4106.0,1725.0,1725.0
12394,30,Q017,P.S. 17 - QUEENS,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,2023-06-29,2023-12-27,2023-09-20,18477.0,6899.0,6899.0
12395,30,Q017,P.S. 17 - QUEENS,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,Complete,2024-01-08,2024-11-02,2025-01-23,238149.0,213699.0,189735.0
12396,30,Q017,P.S. 17 - QUEENS,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",Complete,2024-01-08,2024-11-02,2025-01-23,113648.0,107012.0,98877.0
12402,30,Q069,P.S. 69 - QUEENS,SCA CIP,COOLING TOWER REPLACEMENT,Scope,Complete,2019-01-23,2019-04-05,2019-05-03,32890.0,58323.0,58323.0
12403,30,Q069,P.S. 69 - QUEENS,SCA CIP,COOLING TOWER REPLACEMENT,Design,Complete,2019-05-08,2019-11-08,2019-10-11,164450.0,386323.0,367365.0
12404,30,Q069,P.S. 69 - QUEENS,SCA CIP,COOLING TOWER REPLACEMENT,Construction,In-Progress,2020-01-21,2021-01-19,,3700125.0,3416186.0,3121821.0
12405,30,Q069,P.S. 69 - QUEENS,SCA CIP,COOLING TOWER REPLACEMENT,"CM,F&E",In-Progress,2020-01-21,2021-01-19,,230230.0,272385.0,269821.0
12414,30,Q070,P.S. 70 - QUEENS,SCA CIP,REINFORCING SUPPORT ELEMENTS,Scope,Complete,2021-06-22,2021-11-05,2021-11-01,7118.0,14759.0,14759.0
12415,30,Q070,P.S. 70 - QUEENS,SCA CIP,REINFORCING SUPPORT ELEMENTS,Design,Complete,2021-11-08,2022-04-13,2022-04-06,32033.0,46253.0,41362.0
12416,30,Q070,P.S. 70 - QUEENS,SCA CIP,REINFORCING SUPPORT ELEMENTS,Construction,Complete,2022-09-06,2023-06-02,2025-01-09,412868.0,473307.0,354298.0
12417,30,Q070,P.S. 70 - QUEENS,SCA CIP,REINFORCING SUPPORT ELEMENTS,"CM,F&E",Complete,2022-09-06,2023-06-02,2025-01-09,76523.0,74099.0,73016.0
12418,30,Q070,P.S. 70 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,2019-05-06,2019-09-05,2019-05-21,2510.0,2510.0,2510.0
12419,30,Q070,P.S. 70 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,Complete,2019-05-21,2019-10-22,2019-10-30,10760.0,10109.0,10109.0
12420,30,Q070,P.S. 70 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,2020-09-16,2021-06-12,,291520.0,291520.0,291019.0
12421,30,Q070,P.S. 70 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,"CM,F&E",In-Progress,2020-09-16,2021-06-12,,44211.0,44211.0,44211.0
12422,30,Q070,P.S. 70 - QUEENS,SCA CIP RESOA,FY20 RESO LIBRARY UPGRADE,Scope,Complete,2022-05-27,2022-09-28,2022-08-25,0.0,10666.0,10666.0
12423,30,Q070,P.S. 70 - QUEENS,SCA CIP RESOA,FY20 RESO LIBRARY UPGRADE,Design,Complete,2022-08-30,2023-01-19,2023-01-31,35850.0,44532.0,44532.0
12424,30,Q070,P.S. 70 - QUEENS,SCA CIP RESOA,FY20 RESO LIBRARY UPGRADE,Construction,Complete,2023-05-22,2024-04-15,2024-11-20,525802.0,390167.0,214067.0
12425,30,Q070,P.S. 70 - QUEENS,SCA CIP RESOA,FY20 RESO LIBRARY UPGRADE,"CM,F&E",Complete,2023-05-22,2024-04-15,2024-11-20,175223.0,189541.0,131565.0
12429,30,Q076,P.S. 76 - QUEENS,SCA CIP,RETAINING WALL,Scope,Complete,2024-05-24,2024-10-10,2024-10-07,14387.0,21620.0,21620.0
12430,30,Q076,P.S. 76 - QUEENS,SCA CIP,RETAINING WALL,Design,Complete,2024-10-17,2025-03-24,2025-02-10,57548.0,6927.0,6927.0
12431,30,Q076,P.S. 76 - QUEENS,SCA CIP,RETAINING WALL,Construction,PNS,,,,827248.0,827248.0,7160.0
12432,30,Q076,P.S. 76 - QUEENS,SCA CIP,RETAINING WALL,"CM,F&E",PNS,,,,212207.0,212207.0,20232.0
12433,30,Q076,P.S. 76 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2022-11-16,2023-03-21,2022-12-05,5100.0,6998.0,6998.0
12434,30,Q076,P.S. 76 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2022-12-05,2023-06-01,2023-03-08,22950.0,27989.0,27989.0
12435,30,Q076,P.S. 76 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,2023-07-10,2024-05-04,,295800.0,261602.0,246001.0
12436,30,Q076,P.S. 76 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,2023-07-10,2024-05-04,,178563.0,169667.0,123670.0
12444,30,Q084,P.S. 84 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION / FIRE ALARM SYSTEM REPLACEMENT / HVAC UPGRADES / WINDOWS,Scope,Complete,2022-07-12,2022-11-28,2023-05-15,138000.0,223778.0,213207.0
12445,30,Q084,P.S. 84 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION / FIRE ALARM SYSTEM REPLACEMENT / HVAC UPGRADES / WINDOWS,Design,Complete,2023-06-13,2023-12-18,2024-02-09,658175.0,402003.0,383319.0
12446,30,Q084,P.S. 84 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION / FIRE ALARM SYSTEM REPLACEMENT / HVAC UPGRADES / WINDOWS,Construction,PNS,,,,12056445.0,12056445.0,262689.0
12447,30,Q084,P.S. 84 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION / FIRE ALARM SYSTEM REPLACEMENT / HVAC UPGRADES / WINDOWS,"CM,F&E",PNS,,,,1204649.0,1204649.0,63457.0
12448,30,Q084,P.S. 84 - QUEENS,SCA CIP,STRUCTURAL REPAIRS,Scope,Complete,2024-09-18,2025-02-06,2024-12-13,105122.0,150373.0,41224.0
12449,30,Q084,P.S. 84 - QUEENS,SCA CIP,STRUCTURAL REPAIRS,Design,In-Progress,2024-12-16,2025-05-19,,525610.0,525610.0,62020.0
12450,30,Q084,P.S. 84 - QUEENS,SCA CIP,STRUCTURAL REPAIRS,Construction,PNS,,,,11826233.0,11826233.0,74771.0
12451,30,Q084,P.S. 84 - QUEENS,SCA CIP,STRUCTURAL REPAIRS,"CM,F&E",PNS,,,,735854.0,735854.0,58056.0
12452,30,Q085,P.S. 85 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY / WINDOWS / PARAPETS,Scope,Complete,2024-06-24,2024-11-07,2024-09-27,193939.0,118891.0,97475.0
12453,30,Q085,P.S. 85 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY / WINDOWS / PARAPETS,Design,In-Progress,2024-11-19,2025-04-23,,923978.0,923978.0,262449.0
12454,30,Q085,P.S. 85 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY / WINDOWS / PARAPETS,Construction,PNS,,,,16538068.0,16538068.0,84736.0
12455,30,Q085,P.S. 85 - QUEENS,SCA CIP,ROOFS / EXTERIOR MASONRY / WINDOWS / PARAPETS,"CM,F&E",PNS,,,,1403284.0,1403284.0,51946.0
12456,30,Q085,P.S. 85 - QUEENS,SCA CIP RESOA,FY21 RESO A CAFETERIA UPGRADE / PATH OF TRAVEL RESO A CAFETERIA UPGRADE,Scope,Complete,2021-07-21,2022-04-04,2022-03-04,0.0,10335.0,10335.0
12457,30,Q085,P.S. 85 - QUEENS,SCA CIP RESOA,FY21 RESO A CAFETERIA UPGRADE / PATH OF TRAVEL RESO A CAFETERIA UPGRADE,Design,Complete,2022-03-04,2022-05-20,2022-05-13,64425.0,57176.0,56467.0
12458,30,Q085,P.S. 85 - QUEENS,SCA CIP RESOA,FY21 RESO A CAFETERIA UPGRADE / PATH OF TRAVEL RESO A CAFETERIA UPGRADE,Construction,Complete,2023-08-07,2024-09-29,2025-01-28,944900.0,684973.0,501703.0
12459,30,Q085,P.S. 85 - QUEENS,SCA CIP RESOA,FY21 RESO A CAFETERIA UPGRADE / PATH OF TRAVEL RESO A CAFETERIA UPGRADE,"CM,F&E",Complete,2023-08-07,2024-09-29,2025-01-28,129433.0,152767.0,141168.0
12462,30,Q111,P.S. 111 - QUEENS,SCA CIP,FLOOD ELIMINATION / EXTERIOR MASONRY / ROOFS,Scope,Complete,2019-08-26,2020-01-15,2021-11-17,75080.0,131524.0,130813.0
12463,30,Q111,P.S. 111 - QUEENS,SCA CIP,FLOOD ELIMINATION / EXTERIOR MASONRY / ROOFS,Design,Complete,2021-12-08,2022-05-11,2022-05-05,375404.0,339374.0,339374.0
12464,30,Q111,P.S. 111 - QUEENS,SCA CIP,FLOOD ELIMINATION / EXTERIOR MASONRY / ROOFS,Construction,In-Progress,2022-08-15,2024-02-05,,8446568.0,7919805.0,7498288.0
12465,30,Q111,P.S. 111 - QUEENS,SCA CIP,FLOOD ELIMINATION / EXTERIOR MASONRY / ROOFS,"CM,F&E",In-Progress,2022-08-15,2024-02-05,,528886.0,1067446.0,1058512.0
12470,30,Q112,P.S. 112 - QUEENS,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,Scope,Complete,2016-12-01,2017-03-06,2017-03-08,0.0,60676.0,60676.0
12471,30,Q112,P.S. 112 - QUEENS,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,Design,Complete,2017-03-24,2017-08-08,2017-05-17,84797.0,105111.0,105111.0
12472,30,Q112,P.S. 112 - QUEENS,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,Construction,In-Progress,2017-08-22,2018-05-18,,1243689.0,1227090.0,1144686.0
12473,30,Q112,P.S. 112 - QUEENS,SCA CIP RESOA,FY17 RESO A PLAYGROUND REDEVELOPMENT,"CM,F&E",In-Progress,2017-08-22,2018-05-18,,84797.0,425498.0,424581.0
12477,30,Q122,P.S. 122 - QUEENS,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,2021-05-27,2021-08-26,2021-10-08,11000.0,42351.0,42351.0
12478,30,Q122,P.S. 122 - QUEENS,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Design,Complete,2021-12-28,2022-06-30,2022-09-23,55000.0,170615.0,133529.0
12479,30,Q122,P.S. 122 - QUEENS,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Construction,In-Progress,2023-10-06,2024-07-01,,1237500.0,1320888.0,1233477.0
12480,30,Q122,P.S. 122 - QUEENS,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",In-Progress,2023-10-06,2024-07-01,,77000.0,211697.0,175445.0
12481,30,Q122,P.S. 122 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Scope,Complete,2022-07-14,2022-11-30,2023-06-12,117730.0,174246.0,151233.0
12482,30,Q122,P.S. 122 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Design,Complete,2023-07-05,2023-12-06,2024-03-29,588650.0,461253.0,373643.0
12483,30,Q122,P.S. 122 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Construction,In-Progress,2024-07-05,2027-06-19,,13244625.0,12127544.0,1569309.0
12484,30,Q122,P.S. 122 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,"CM,F&E",In-Progress,2024-07-05,2027-06-19,,824110.0,244367.0,227050.0
12490,30,Q126,I.S. 126 - QUEENS,SCA CIP RESOA,FY23 RESO A SCIENCE LAB / PATH OF TRAVEL RESO A SCIENCE LAB,Scope,Complete,2023-03-02,2023-07-03,2023-10-31,0.0,41868.0,41278.0
12491,30,Q126,I.S. 126 - QUEENS,SCA CIP RESOA,FY23 RESO A SCIENCE LAB / PATH OF TRAVEL RESO A SCIENCE LAB,Design,Complete,2023-10-31,2024-04-04,2024-10-17,58883.0,71002.0,71002.0
12492,30,Q126,I.S. 126 - QUEENS,SCA CIP RESOA,FY23 RESO A SCIENCE LAB / PATH OF TRAVEL RESO A SCIENCE LAB,Construction,PNS,,,,863622.0,863622.0,16697.0
12493,30,Q126,I.S. 126 - QUEENS,SCA CIP RESOA,FY23 RESO A SCIENCE LAB / PATH OF TRAVEL RESO A SCIENCE LAB,"CM,F&E",PNS,,,,58883.0,63252.0,28223.0
12501,30,Q127,P.S. 127 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2022-11-28,2023-03-30,2022-12-05,4600.0,3777.0,3777.0
12502,30,Q127,P.S. 127 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2022-12-05,2023-06-01,2023-03-08,20700.0,15106.0,15106.0
12503,30,Q127,P.S. 127 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,2023-07-10,2024-05-04,,266800.0,251007.0,236193.0
12504,30,Q127,P.S. 127 - QUEENS,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,2023-07-10,2024-05-04,,163854.0,159548.0,115556.0
12513,30,Q141,I.S. 141 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Scope,Complete,2019-08-22,2020-02-10,2019-10-07,3256.0,4779.0,4779.0
12514,30,Q141,I.S. 141 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Design,Complete,2019-10-07,2020-03-12,2020-01-29,14655.0,19535.0,19535.0
12515,30,Q141,I.S. 141 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Construction,Complete,2021-02-05,2021-11-01,2021-10-28,188885.0,366521.0,359810.0
12516,30,Q141,I.S. 141 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,"CM,F&E",Complete,2021-02-05,2021-11-01,2021-10-28,35009.0,56652.0,56652.0
12517,30,Q141,I.S. 141 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
12518,30,Q141,I.S. 141 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,PNS,,,,0.0,0.0,0.0
12519,30,Q141,I.S. 141 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
12520,30,Q141,I.S. 141 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
12521,30,Q141,I.S. 141 - QUEENS,SCA CIP RESOA,FY25 RESO A AUDITORIUM UPGRADE,Scope,In-Progress,2025-02-10,2025-06-11,,0.0,16222.0,210.0
12522,30,Q141,I.S. 141 - QUEENS,SCA CIP RESOA,FY25 RESO A AUDITORIUM UPGRADE,Design,PNS,,,,45000.0,28778.0,839.0
12523,30,Q141,I.S. 141 - QUEENS,SCA CIP RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,,,,660000.0,660000.0,0.0
12524,30,Q141,I.S. 141 - QUEENS,SCA CIP RESOA,FY25 RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,,,,45000.0,45000.0,0.0
12529,30,Q145,I.S. 145 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,2014-12-12,2015-05-15,2015-02-26,127455.0,107788.0,107788.0
12530,30,Q145,I.S. 145 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,2015-04-01,2015-08-31,2015-08-26,509820.0,345117.0,339142.0
12531,30,Q145,I.S. 145 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,2017-01-09,2018-12-09,,9559125.0,8546608.0,8146057.0
12532,30,Q145,I.S. 145 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,2017-01-09,2018-12-09,,594790.0,702770.0,702770.0
12533,30,Q145,I.S. 145 - QUEENS,SCA CIP,ROOFS / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / EMERGENCY GENERATOR,Scope,Complete,2023-06-21,2023-11-06,2023-12-15,168744.0,227790.0,206400.0
12534,30,Q145,I.S. 145 - QUEENS,SCA CIP,ROOFS / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / EMERGENCY GENERATOR,Design,In-Progress,2023-12-27,2024-05-29,,772009.0,772009.0,243164.0
12535,30,Q145,I.S. 145 - QUEENS,SCA CIP,ROOFS / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / EMERGENCY GENERATOR,Construction,PNS,,,,12104343.0,12104343.0,295838.0
12536,30,Q145,I.S. 145 - QUEENS,SCA CIP,ROOFS / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / EMERGENCY GENERATOR,"CM,F&E",PNS,,,,1409474.0,1409474.0,66576.0
12541,30,Q148,P.S. 148 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,2019-03-25,2019-07-24,2019-06-19,6080.0,6080.0,6080.0
12542,30,Q148,P.S. 148 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,Complete,2019-06-19,2019-11-20,2019-11-07,24423.0,24423.0,24423.0
12543,30,Q148,P.S. 148 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,2020-09-16,2021-06-12,,274494.0,274494.0,273993.0
12544,30,Q148,P.S. 148 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,"CM,F&E",In-Progress,2020-09-16,2021-06-12,,42524.0,42524.0,42524.0
12549,30,Q149,P.S. 149 - QUEENS,SCA CIP,EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS / PAVED AREAS- CONCRETE / FLOOD ELIMINATION,Scope,Complete,2023-06-09,2023-12-08,2023-11-01,233536.0,336276.0,320369.0
12550,30,Q149,P.S. 149 - QUEENS,SCA CIP,EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS / PAVED AREAS- CONCRETE / FLOOD ELIMINATION,Design,Complete,2023-12-18,2024-05-20,2024-04-22,1163035.0,416393.0,416393.0
12551,30,Q149,P.S. 149 - QUEENS,SCA CIP,EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS / PAVED AREAS- CONCRETE / FLOOD ELIMINATION,Construction,In-Progress,2024-09-18,2027-09-02,,25766388.0,23362150.0,651995.0
12552,30,Q149,P.S. 149 - QUEENS,SCA CIP,EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS / PAVED AREAS- CONCRETE / FLOOD ELIMINATION,"CM,F&E",In-Progress,2024-09-18,2027-09-02,,1669604.0,131973.0,131681.0
12558,30,Q150,P.S. 150 - QUEENS,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,2019-06-28,2019-11-14,2019-11-06,88879.0,170037.0,167184.0
12559,30,Q150,P.S. 150 - QUEENS,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,2019-11-13,2020-04-16,2020-06-26,444401.0,928866.0,805893.0
12560,30,Q150,P.S. 150 - QUEENS,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,2021-06-08,2023-06-07,,9998999.0,18210011.0,12911728.0
12561,30,Q150,P.S. 150 - QUEENS,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,2021-06-08,2023-06-07,,622161.0,2366393.0,2318828.0
12562,30,Q150,P.S. 150 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A CAFETERIA UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
12563,30,Q150,P.S. 150 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A CAFETERIA UPGRADE,Design,PNS,,,,0.0,0.0,0.0
12564,30,Q150,P.S. 150 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A CAFETERIA UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
12565,30,Q150,P.S. 150 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A CAFETERIA UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
12566,30,Q150,P.S. 150 - QUEENS,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE,Scope,Complete,2023-02-01,2023-06-02,2023-10-16,0.0,13663.0,13663.0
12567,30,Q150,P.S. 150 - QUEENS,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE,Design,Complete,2023-11-28,2024-04-30,2024-03-21,70993.0,74669.0,65423.0
12568,30,Q150,P.S. 150 - QUEENS,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,2024-10-07,2025-09-01,,1041225.0,475210.0,0.0
12569,30,Q150,P.S. 150 - QUEENS,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE,"CM,F&E",In-Progress,2024-10-07,2025-09-01,,70993.0,49695.0,44524.0
12570,30,Q150,P.S. 150 - QUEENS,SCA CIP RESOA,FY25 RESO A CAFETERIA UPGRADE,Scope,In-Progress,2025-03-10,2025-07-10,,0.0,16012.0,0.0
12571,30,Q150,P.S. 150 - QUEENS,SCA CIP RESOA,FY25 RESO A CAFETERIA UPGRADE,Design,PNS,,,,45000.0,28988.0,0.0
12572,30,Q150,P.S. 150 - QUEENS,SCA CIP RESOA,FY25 RESO A CAFETERIA UPGRADE,Construction,PNS,,,,660000.0,660000.0,0.0
12573,30,Q150,P.S. 150 - QUEENS,SCA CIP RESOA,FY25 RESO A CAFETERIA UPGRADE,"CM,F&E",PNS,,,,45000.0,45000.0,0.0
12574,30,Q150,P.S. 150 - QUEENS,SCA CIP RESOA,RESO A LIBRARY UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
12575,30,Q150,P.S. 150 - QUEENS,SCA CIP RESOA,RESO A LIBRARY UPGRADE,Design,PNS,,,,3000.0,3000.0,0.0
12576,30,Q150,P.S. 150 - QUEENS,SCA CIP RESOA,RESO A LIBRARY UPGRADE,Construction,PNS,,,,44000.0,44000.0,0.0
12577,30,Q150,P.S. 150 - QUEENS,SCA CIP RESOA,RESO A LIBRARY UPGRADE,"CM,F&E",PNS,,,,3000.0,3000.0,0.0
12594,30,Q152,P.S. 152 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / GYM WINDOWS / RTU REPLACEMENT / FIRE ALARM REPLACEMENT,Scope,Complete,2021-06-02,2021-10-18,2021-10-28,136645.0,144485.0,144485.0
12595,30,Q152,P.S. 152 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / GYM WINDOWS / RTU REPLACEMENT / FIRE ALARM REPLACEMENT,Design,Complete,2021-11-19,2022-04-25,2022-10-20,658969.0,396100.0,381871.0
12596,30,Q152,P.S. 152 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / GYM WINDOWS / RTU REPLACEMENT / FIRE ALARM REPLACEMENT,Construction,PNS,,,,12728523.0,12728523.0,244118.0
12597,30,Q152,P.S. 152 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / GYM WINDOWS / RTU REPLACEMENT / FIRE ALARM REPLACEMENT,"CM,F&E",PNS,,,,1138450.0,1138450.0,40567.0
12598,30,Q152,P.S. 152 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,2019-05-28,2019-09-26,2019-07-02,5660.0,3415.0,3415.0
12599,30,Q152,P.S. 152 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,Complete,2019-07-02,2019-12-04,2019-11-06,25472.0,13715.0,13715.0
12600,30,Q152,P.S. 152 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,2020-09-16,2021-06-12,,453324.0,453324.0,452673.0
12601,30,Q152,P.S. 152 - QUEENS,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,"CM,F&E",In-Progress,2020-09-16,2021-06-12,,60849.0,56519.0,56519.0
12605,30,Q166,P.S. 166 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,2023-06-05,2023-12-04,2023-10-26,131122.0,166665.0,166665.0
12606,30,Q166,P.S. 166 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,2023-11-07,2024-06-28,2024-04-22,655614.0,329708.0,329708.0
12607,30,Q166,P.S. 166 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,PNS,,,,14751305.0,14751305.0,211771.0
